domain, title_filter
"www.basecamp.com", "design OR marketing"
"www.proofhub.com", "software"
"www.domain.com", "ceo OR founder"
"www.Mailchimp.com", "cto OR founder"
"www.convertkit.com", "cto or founder"
"www.predictleads.com", "cto or founder"
"www.aweber.com", "ceo OR founder"
"www.getresponse.com", "ceo OR founder"
"www.activecampaign.com", "ceo OR founder"
"www.drip.com", "ceo OR founder"
"www.mailerlite.com", "ceo OR founder"
"www.mailjet.com", "ceo OR founder"
"www.sendinblue.com", "ceo OR founder"
"www.sendgrid.com", "ceo OR founder"
